"date","comment","link","likes"
"Jan 12, 2016","1","https://www.instagram.com/p/BAcPhRII9y3/?taken-by=safirstores","205"
"Jan 12, 2016","1","https://www.instagram.com/p/BAb-T8XI93-/?taken-by=safirstores","241"
"Jan 11, 2016","21","https://www.instagram.com/p/BAZoTSOI928/?taken-by=safirstores","208"
"Jan 11, 2016","24","https://www.instagram.com/p/BAY5evBo92y/?taken-by=safirstores","187"
"Jan 10, 2016","2","https://www.instagram.com/p/BAWTeT4o97E/?taken-by=safirstores","216"
"Jan 9, 2016","5","https://www.instagram.com/p/BAUb-Mfo93D/?taken-by=safirstores","205"
"Jan 9, 2016","0","https://www.instagram.com/p/BAT0ZZ8o97O/?taken-by=safirstores","131"
"Jan 9, 2016","2","https://www.instagram.com/p/BATxUNUI93C/?taken-by=safirstores","160"
"Jan 9, 2016","0","https://www.instagram.com/p/BAShZWBo99i/?taken-by=safirstores","192"
"Jan 8, 2016","1","https://www.instagram.com/p/BASOSZ4o93i/?taken-by=safirstores","180"
"Jan 8, 2016","0","https://www.instagram.com/p/BASCIIFI9-d/?taken-by=safirstores","203"
"Jan 8, 2016","4","https://www.instagram.com/p/BAP7jsLo95y/?taken-by=safirstores","241"
"Jan 7, 2016","1","https://www.instagram.com/p/BAPk1XEI9-u/?taken-by=safirstores","196"
"Jan 7, 2016","3","https://www.instagram.com/p/BAOtiV0o98N/?taken-by=safirstores","141"
"Jan 7, 2016","4","https://www.instagram.com/p/BANLzVEI92_/?taken-by=safirstores","214"
"Jan 6, 2016","0","https://www.instagram.com/p/BAMYNkcI9-0/?taken-by=safirstores","151"
"Jan 6, 2016","8","https://www.instagram.com/p/BAKsCudo94V/?taken-by=safirstores","202"
"Jan 5, 2016","4","https://www.instagram.com/p/BAKINHHI92h/?taken-by=safirstores","214"
"Jan 5, 2016","0","https://www.instagram.com/p/BAKFiCLI9xB/?taken-by=safirstores","171"
"Jan 4, 2016","11","https://www.instagram.com/p/BAHXzp6I98Q/?taken-by=safirstores","179"
"Jan 4, 2016","10","https://www.instagram.com/p/BAG27soo9yI/?taken-by=safirstores","208"
"Jan 3, 2016","6","https://www.instagram.com/p/BAFXVy3I91q/?taken-by=safirstores","213"
"Jan 3, 2016","19","https://www.instagram.com/p/BAFFXgEI98t/?taken-by=safirstores","214"
"Jan 3, 2016","10","https://www.instagram.com/p/BAE0Pcbo97Q/?taken-by=safirstores","159"
"Jan 3, 2016","9","https://www.instagram.com/p/BAEjIF0I9_6/?taken-by=safirstores","140"
"Jan 2, 2016","17","https://www.instagram.com/p/BACUJg6I94w/?taken-by=safirstores","196"
"Jan 1, 2016","7","https://www.instagram.com/p/__eCkoo9wU/?taken-by=safirstores","194"
"Dec 31, 2015","14","https://www.instagram.com/p/_9BrGII9w4/?taken-by=safirstores","135"
"Dec 28, 2015","8","https://www.instagram.com/p/_1XIwLo9wp/?taken-by=safirstores","132"
"Dec 28, 2015","3","https://www.instagram.com/p/_1QXRLo91g/?taken-by=safirstores","144"
"Dec 28, 2015","8","https://www.instagram.com/p/_1OwweI9yy/?taken-by=safirstores","130"
"Dec 26, 2015","12","https://www.instagram.com/p/_wjI51I9wL/?taken-by=safirstores","162"
"Dec 26, 2015","8","https://www.instagram.com/p/_wiKepo9-F/?taken-by=safirstores","176"
"Dec 26, 2015","4","https://www.instagram.com/p/_whTaZI970/?taken-by=safirstores","167"
"Dec 25, 2015","9","https://www.instagram.com/p/_t31xZI95y/?taken-by=safirstores","230"
"Dec 25, 2015","0","https://www.instagram.com/p/_tX_AcI92l/?taken-by=safirstores","186"
"Dec 24, 2015","2","https://www.instagram.com/p/_qrVrdI9yY/?taken-by=safirstores","224"
"Dec 21, 2015","14","https://www.instagram.com/p/_jgoz7I914/?taken-by=safirstores","175"
"Dec 21, 2015","10","https://www.instagram.com/p/_ix02fo96V/?taken-by=safirstores","262"
"Dec 20, 2015","22","https://www.instagram.com/p/_gdHfXo95k/?taken-by=safirstores","189"
"Dec 17, 2015","11","https://www.instagram.com/p/_XHps-o9xP/?taken-by=safirstores","146"
"Dec 17, 2015","4","https://www.instagram.com/p/_XHFSLI9wa/?taken-by=safirstores","143"
"Dec 17, 2015","0","https://www.instagram.com/p/_XHB5Bo9wS/?taken-by=safirstores","114"
"Dec 16, 2015","1","https://www.instagram.com/p/_WxHipo93I/?taken-by=safirstores","146"
"Dec 16, 2015","0","https://www.instagram.com/p/_WwMllo91M/?taken-by=safirstores","145"
